Open,High,Low,Close,Volume
1.20038,1.20225,1.20007,1.20212,7103
1.20211,1.20338,1.20177,1.20238,5101
1.20238,1.204,1.20238,1.20348,3722
1.20347,1.20417,1.20335,1.20379,2275
1.20378,1.20474,1.20372,1.20424,1785
1.20425,1.20441,1.20393,1.20426,1378
1.20427,1.20497,1.20406,1.20491,1492
1.20488,1.20498,1.20459,1.20492,1180
1.20426,1.20431,1.20355,1.20423,546
1.20423,1.20553,1.20421,1.20486,2743
1.20487,1.20527,1.20305,1.20324,3887
1.20325,1.20387,1.20298,1.20383,2437
1.20382,1.20383,1.20314,1.20364,2127
1.20363,1.20391,1.2035,1.20382,1186
1.20383,1.204,1.20344,1.20349,1252
1.20348,1.20426,1.20347,1.20367,1270
